instance,prep,geo-feature,placename,sum,or,label exp1,label exp 2,label exp 3,label exp 4
 to philippa patting the seat under an awning as for a,under,0,0,0,0,1,1,0,1
 patting the seat an awning as for a favourite hound,as,0,0,0,0,0,0,0,0
 patting the seat an awning for a favourite hound,for,0,0,0,0,0,0,0,0
 daft of me not to be able,of,0,0,0,0,0,0,0,0
 said his wife a frown on her forehead and a worried,on,0,0,0,0,1,1,0,1
 do not be afraid of anyone but have reverence for,of,0,0,0,0,0,0,0,0
 afraid anyone but have reverence for christ,for,0,0,0,0,0,0,0,0
 n t bleat to me about fairness he rasped his tone,about,0,0,0,0,0,0,0,0
 estelle s delight in thomas made your mother very,in,0,1,1,1,0,0,0,0
 ashley recalled her head resting against his chest,against,0,1,1,1,1,1,0,1
 a blind man could see that i hold all the cards,that,2,0,2,1,0,0,0,0
 i hold all the cards in this situation he told her,in,2,0,2,1,0,0,0,0
 situation he told her flatly as she trailed slowly and miserably,as,2,0,2,1,0,0,0,0
 she trailed slowly and miserably into the room behind him,into,2,0,2,1,1,1,0,1
 slowly and miserably the room behind him,behind,2,0,2,1,1,1,0,1
 everyone seemed very pleased with the arrangements philippe had made,with,0,0,0,0,0,0,0,0
 get down there quickly he shouted above,down,0,0,0,0,1,1,0,1
 get there quickly he shouted above the noise of the helicopter,above,0,0,0,0,0,0,0,0
 quickly he shouted the noise of the helicopter s engine,of,0,0,0,0,0,0,0,0
 get even with big fat hermann,with,0,0,0,0,0,0,0,0
 i ve got another letter from that kid in stretford,from,0,1,1,1,2,1,1,0
 got another letter that kid in stretford,in,0,1,1,1,2,1,1,0
 devlin said and climbed in beside him,beside,0,0,0,0,1,1,0,1
 hang on he grunted to antony and,on,0,1,1,1,0,0,0,0
 him yet he inquired abruptly of auguste,of,0,0,0,0,0,0,0,0
 recently received the april publication of hospitality i should like to,of,0,0,0,0,0,0,0,0
 i should like to place on record the vast improvement on,on,0,0,0,0,0,0,0,0
 place record the vast improvement on previous issues that has been,on,0,0,0,0,0,0,0,0
 he speaks highly of you she said,of,0,0,0,0,0,0,0,0
 friends started to take advantage of her persuading her to spend,of,0,0,0,0,0,0,0,0
 her to spend her savings on them and finally stole from,on,0,0,0,0,0,0,0,0
 savings them and finally stole from one of her flatmates,from,0,0,0,0,0,0,0,0
 them and finally stole one of her flatmates,of,0,0,0,0,0,0,0,0
 his wife thirsty for power is also mad and,for,0,0,0,0,0,0,0,0
 good time said chris robinson before trotting energetically off the stage,before,0,1,1,1,0,0,0,0
 said chris robinson trotting energetically off the stage,off,0,1,1,1,1,1,0,1
 here trying to put me off my guard with some absurd,off,0,0,0,0,0,0,0,0
 to put me my guard with some absurd story he countered,with,0,0,0,0,0,0,0,0
 some absurd story he countered with simmering hostility regarding her belligerent,with,0,0,0,0,0,0,0,0
 hostility regarding her belligerent stance with brooding interest,with,0,0,0,0,0,0,0,0
 how much he asked still in a sort of trance turning,in,0,0,0,0,0,0,0,0
 he asked still a sort of trance turning the brown lustre,of,0,0,0,0,0,0,0,0
 trance turning the brown lustre of her skin into abyssinian maid,of,0,0,0,0,0,0,0,0
 the brown lustre her skin into abyssinian maid and then the,into,0,0,0,0,0,0,0,0
 maid and then the queen of pleasures,of,0,0,0,0,0,0,0,0
 i am the leader of the forty five members of,of,0,0,0,0,0,0,0,0
 leader the forty five members of the bulgarian monarchist front he,of,0,0,0,0,0,0,0,0
 i am uncertain about my future as at the,about,0,0,0,0,0,0,0,0
 i am uncertain my future as at the moment it seems,as,0,0,0,0,0,0,0,0
 i am uncertain my future at the moment it seems we,at,0,0,0,0,0,0,0,0
 i am very disappointed for jimmy,for,0,0,0,0,0,0,0,0
 i began to yearn for you the moment you left,for,0,0,0,0,0,0,0,0
 you left he told her in return,in,0,0,0,0,0,0,0,0
 ca n t even talk about his future in the game,about,0,0,0,0,0,0,0,0
 t even talk his future in the game because it s,in,0,0,0,0,0,0,0,0
 talk his future the game because it s too early to,because,0,0,0,0,0,0,0,0
 i compose a few things during slack times on journeys googol,during,0,0,0,0,0,0,0,0
 a few things slack times on journeys googol admitted,on,0,0,0,0,0,0,0,0
 i could phone him with a problem and he had,with,0,0,0,0,0,0,0,0
 and he had such insight that he could steer me through,that,0,0,0,0,0,0,0,0
 insight he could steer me through it although he knew very,through,0,0,0,0,0,0,0,0
 he could steer me it although he knew very little of,although,0,0,0,0,0,0,0,0
 it he knew very little of the problems over here,of,0,0,0,0,0,0,0,0
 knew very little the problems over here,over,0,0,0,0,0,0,0,0
 i was speculating she said in a rebuke to the government,in,0,0,0,0,0,0,0,0
 to the government s attitude towards the advertised high return low,towards,0,0,0,0,0,0,0,0
 return low risk investment offered by barlow clowes,by,0,0,0,0,0,0,0,0
 have known it this bad at any club in my career,at,0,0,0,0,2,1,1,0
 it this bad any club in my career he said,in,0,0,0,0,0,0,0,0
 i get complaints from the customer,from,0,0,0,0,0,0,0,0
 s ferdi said peach nibbling on the fig she had just,on,0,0,0,0,0,0,0,0
 fig she had just picked in the garden,in,0,0,0,0,2,1,1,0
 and then ring you tonight with the outline proposal and estimate,with,0,0,0,0,0,0,0,0
 i ll reduce it by fifty per cent,by,0,0,0,0,0,0,0,0
 i ll reduce it fifty per cent,per,0,0,0,0,0,0,0,0
 i ll see if mr morris will speak with,if,0,0,0,0,0,0,0,0
 see mr morris will speak with you,with,0,0,0,0,0,0,0,0
 she said and they laughed as she pattered across the floor,as,0,0,0,0,0,0,0,0
 and they laughed she pattered across the floor on her tip,across,0,0,0,0,1,1,0,1
 laughed she pattered the floor on her tip toes,on,0,0,0,0,0,0,0,0
 back and taking the envelope with her resignation in with her,with,1,0,1,1,0,0,0,0
 taking the envelope her resignation in with her she went to,in,1,0,1,1,1,1,0,1
 taking the envelope her resignation with her she went to see,with,1,0,1,1,0,0,0,0
 went to see her head of department,of,1,0,1,1,0,0,0,0
 i m no good at anything,at,0,0,0,0,0,0,0,0
 i m sorry about that ma am,about,0,0,0,0,0,0,0,0
 i m upset with myself she tried to explain,with,0,0,0,0,0,0,0,0
 realised then there was nowhere in ireland offering this sort of,in,0,3,3,1,2,1,1,0
 nowhere ireland offering this sort of treatment and decided to do,of,0,3,3,1,0,0,0,0
 and decided to do something about it said the businessman who,about,0,3,3,1,0,0,0,0
 said the businessman who commutes between northern ireland and hong kong,between,0,3,3,1,2,1,1,0
 i reckon that stepmother of yours must ve wore you,of,0,0,0,0,0,0,0,0
 i remarked about the glass being dirty,about,0,0,0,0,0,0,0,0
 said get lost and pushed past him and staggered off down,past,0,0,0,0,1,1,0,1
 pushed him and staggered off down the corridor,down,0,0,0,0,1,1,0,1
 i shouted at it in english but it,at,0,0,0,0,0,0,0,0
 i shouted it in english but it kept on,in,0,0,0,0,0,0,0,0
 it english but it kept on,on,0,0,0,0,0,0,0,0
 i spent ages crawling around the hotel s foundations and,around,1,0,1,1,1,1,0,1
 n t find a way out,out,1,0,1,1,0,0,0,0
 i suppose he asked without any real hope she did,without,0,0,0,0,0,0,0,0
 t mention to you anything about anonymous letters,about,0,0,0,0,0,0,0,0
 perhaps you were still mad at me,at,0,0,0,0,0,0,0,0
 and it s not fair on him being exposed to some,on,0,0,0,0,0,0,0,0
 him being exposed to some of our defending in recent weeks,of,0,0,0,0,0,0,0,0
 exposed to some our defending in recent weeks,in,0,0,0,0,0,0,0,0
 i ve never been on a boat before he admitted,on,0,1,1,1,1,1,0,1
 ve never been a boat before he admitted to tommy unless,before,0,1,1,1,0,0,0,0
 boat he admitted to tommy unless you count the paddle steamer,unless,0,1,1,1,0,0,0,0
 you count the paddle steamer at brighton,at,0,1,1,1,2,1,1,0
 you to examine this act in which you propose we should,in,0,0,0,0,0,0,0,0
 you propose we should conspire with the enemy against our emperor,with,0,0,0,0,0,0,0,0
 we should conspire the enemy against our emperor,against,0,0,0,0,0,0,0,0
 if i were you i should,If,0,0,0,0,0,0,0,0
 i should provide her immediately with a clutch of grandchildren to,with,0,0,0,0,0,0,0,0
 provide her immediately a clutch of grandchildren to look after and,of,0,0,0,0,0,0,0,0
 a clutch grandchildren to look after and she can go on,after,0,0,0,0,0,0,0,0
 look and she can go on being happily the same until,on,0,0,0,0,0,0,0,0
 go being happily the same until the day she dies,until,0,0,0,0,0,0,0,0
 if it had taken place in,If,0,2,2,1,0,0,0,0
 it had taken place in london or new york i,in,0,2,2,1,2,1,1,0
 i would have simply bawled at him to get lost,at,0,2,2,1,0,0,0,0
 if one of my lecturers had,If,0,0,0,0,0,0,0,0
 one of my lecturers had been murdered,of,0,0,0,0,0,0,0,0
 murdered i would n t like to hear someone gloating about,like,0,0,0,0,0,0,0,0
 t to hear someone gloating about the details,about,0,0,0,0,0,0,0,0
 if you d bothered to listen,If,0,0,0,0,0,0,0,0
 listen to me peter went on instead of simply wading in,on,0,0,0,0,0,0,0,0
 to me peter went instead of simply wading in with all,of,0,0,0,0,0,0,0,0
 went instead simply wading in with all those slanderous accusations about,with,0,0,0,0,0,0,0,0
 in all those slanderous accusations about her i d have told,about,0,0,0,0,0,0,0,0
 is there any reason that i should not take an,that,1,0,1,1,0,0,0,0
 not take an early stroll on the beaches like mr dickens,on,1,0,1,1,2,1,1,0
 an early stroll the beaches like mr dickens himself,like,1,0,1,1,0,0,0,0
 it is a disgrace that the schools minister should describe,that,2,0,2,1,0,0,0,0
 schools minister should describe schools in that way,in,2,0,2,1,0,0,0,0
 it is so hard for them to understand,for,0,0,0,0,0,0,0,0
 s ointment he lied culled from the hoof of an elk,from,0,0,0,0,0,0,0,0
 he lied culled the hoof of an elk and mixed with,of,0,0,0,0,0,0,0,0
 hoof an elk and mixed with herbs,with,0,0,0,0,0,0,0,0
 new home when he was in such a terrible state,in,1,0,1,1,0,0,0,0
 james was made to look as though he was waiting in,as,0,0,0,0,0,0,0,0
 james was made to look though he was waiting in the,though,0,0,0,0,0,0,0,0
 to look he was waiting in the wings to pounce on,in,0,0,0,0,0,0,0,0
 waiting the wings to pounce on his fairytale princess,on,0,0,0,0,0,0,0,0
 thus became the first person in history to attempt to convert,in,0,1,1,1,0,0,0,0
 attempt to convert a quartet of jehovah s witness,of,0,1,1,1,0,0,0,0
 lack of employment for women and boredom,of,0,0,0,0,0,0,0,0
 lack employment for women and boredom for men,for,0,0,0,0,0,0,0,0
 lack employment women and boredom for men emerged as the main,for,0,0,0,0,0,0,0,0
 women and boredom men emerged as the main reasons people indulge,as,0,0,0,0,0,0,0,0
 the main reasons people indulge in prostitution,in,0,0,0,0,0,0,0,0
 let us be frank about it he said,about,0,0,0,0,0,0,0,0
 liam devlin if it is devlin they choose,if,0,1,1,1,0,0,0,0
 is hardly going to parachute into the courtyard at st mary,into,0,1,1,1,2,1,1,0
 going to parachute the courtyard at st mary s priory tomorrow,at,0,1,1,1,2,1,1,0
 priory tomorrow night jack and if he did so what,if,0,1,1,1,0,0,0,0
 many people will note that british ministers and other politicians,that,0,0,0,0,0,0,0,0
 politicians are not as outspoken about other deaths arising out of,about,0,0,0,0,0,0,0,0
 as outspoken other deaths arising out of this conflict,out,0,0,0,0,0,0,0,0
 as outspoken other deaths arising of this conflict,of,0,0,0,0,0,0,0,0
 may i also put it on record that i love you,on,0,0,0,0,0,0,0,0
 i also put it record that i love you for your,that,0,0,0,0,0,0,0,0
 it record i love you for your mind said leo earnestly,for,0,0,0,0,0,0,0,0
 way to treat insanity is with kindness james told her when,with,0,2,2,1,0,0,0,0
 told her when she insisted that a particularly deranged woman of,that,0,2,2,1,0,0,0,0
 insisted a particularly deranged woman of middle age should remain chained,of,0,2,2,1,0,0,0,0
 middle age should remain chained by the ankle to her bed,by,0,2,2,1,1,1,0,1
 my blood boils with anger said mr brownlow,with,0,0,0,0,0,0,0,0
 my one wish in all the world is to,in,0,0,0,0,0,0,0,0
 is to find a cure for my son,for,0,0,0,0,0,0,0,0
 players must class the replay as the most important game of,as,0,1,1,1,0,0,0,0
 replay the most important game of the season and ignore the,of,0,1,1,1,0,0,0,0
 himself as athletically he waltzed around the chair examining dolly from,around,0,0,0,0,1,1,0,1
 waltzed the chair examining dolly from all angles,from,0,0,0,0,1,1,0,1
 now if you ll excuse me i,if,0,0,0,0,0,0,0,0
 let s take a walk over the fields with honey and,over,1,1,2,1,2,1,1,0
 take a walk the fields with honey and harriet,with,1,1,2,1,0,0,0,0
 of course he said leading them,Of,0,0,0,0,0,0,0,0
 course he said leading them towards a door at one end,towards,0,0,0,0,1,1,0,1
 said leading them a door at one end of the room,at,0,0,0,0,1,1,0,1
 them a door one end of the room,of,0,0,0,0,1,1,0,1
 said harrington piling his plate with the fried eggs which had,with,0,0,0,0,1,1,0,1
 which had started to congeal beneath the cover,beneath,0,0,0,0,1,1,0,1
 parul knew he had been with other women and they rowed,with,0,1,1,1,0,0,0,0
 other women and they rowed about it,about,0,1,1,1,0,0,0,0
 habit we share this business of vaulting to easy conclusions,of,0,0,0,0,0,0,0,0
 planets move in ellipses around the sun is,in,0,0,0,0,0,0,0,0
 planets move ellipses around the sun is more precise,around,0,0,0,0,2,1,1,0
 the sun is more precise than planets move in closed loops,than,0,0,0,0,0,0,0,0
 is more precise planets move in closed loops around the sun,in,0,0,0,0,0,0,0,0
 precise planets move closed loops around the sun and is consequently,around,0,0,0,0,2,1,1,0
 there has been a spate of allegations in the media about,of,0,0,0,0,0,0,0,0
 has been a spate allegations in the media about the business,in,0,0,0,0,0,0,0,0
 a spate allegations the media about the business affairs of both,about,0,0,0,0,0,0,0,0
 the media the business affairs of both me and my family,of,0,0,0,0,0,0,0,0
 family which shows no sign of abating,of,0,0,0,0,0,0,0,0
 shall i shock you more with another truth,with,0,0,0,0,0,0,0,0
 claimed people might be shocked at her remarrying so soon after,at,0,0,0,0,0,0,0,0
 shocked her remarrying so soon after dennis s death,after,0,0,0,0,0,0,0,0
 she was a voluntary resident at one of the hospitals where,at,0,0,0,0,2,1,1,0
 was a voluntary resident one of the hospitals where i act,of,0,0,0,0,2,1,1,0
 the hospitals where i act as a consultant,as,0,0,0,0,0,0,0,0
 has n t contacted bailey about the hit,about,0,0,0,0,0,0,0,0
 so i understand from mrs kettle said melissa,from,0,0,0,0,0,0,0,0
 so you got me fired from my job maria supplied dully,from,0,0,0,0,0,0,0,0
 such a middle class way of carrying on she thought and,of,0,0,0,0,0,0,0,0
 a middle class way carrying on she thought and remembered how,on,0,0,0,0,0,0,0,0
 gabriel and she had revelled in roast beef and two veg,in,0,0,0,0,0,0,0,0
 two veg and concocted casseroles of liver and sausages and baked,of,0,0,0,0,0,0,0,0
 take your hands off me,off,0,0,0,0,1,1,0,1
 tall guys in blue uniforms and cars with,in,0,0,0,0,0,0,0,0
 guys blue uniforms and cars with flashing lights on top,with,0,0,0,0,0,0,0,0
 uniforms and cars flashing lights on top,on,0,0,0,0,1,1,0,1
 that afternoon the matron of abigail s hospital rang from,of,1,1,2,1,2,1,1,0
 matron abigail s hospital rang from bristol to tell us her,from,1,1,2,1,2,1,1,0
 had finally got the better of her heart and she d,of,1,1,2,1,0,0,0,0
 she d died an hour ago,ago,1,1,2,1,0,0,0,0
 morning but when i looked on the floor there was the,on,0,0,0,0,1,1,0,1
 there was the veil torn in two halves,in,0,0,0,0,0,0,0,0
 assassin must have been lying on the ground or father standing,on,0,0,0,0,1,1,0,1
 the ground or father standing on some steps,on,0,0,0,0,1,1,0,1
 the compassion of mrs lodge is something this,of,1,0,1,1,0,0,0,0
 to avoid tipping this economy into a recession he warns,into,0,0,0,0,0,0,0,0
 it and keep the sport till the fire burns low enough,till,0,0,0,0,0,0,0,0
 enough when they venturously leap through the flames,through,0,0,0,0,1,1,0,1
 i do n t know about you mate but i m,about,0,0,0,0,0,0,0,0
 but i m saying grace before meals,before,0,0,0,0,0,0,0,0
 are n t any lies about mudhoney except for the shit,about,0,1,1,1,0,0,0,0
 n t any lies mudhoney except for the shit we make,except,0,1,1,1,0,0,0,0
 n t any lies mudhoney for the shit we make up,for,0,1,1,1,0,0,0,0
 there are some cans of drink on the back seat,of,0,0,0,0,0,0,0,0
 there are some cans drink on the back seat if you,on,0,0,0,0,1,1,0,1
 cans drink the back seat if you re thirsty,if,0,0,0,0,0,0,0,0
 can only be one king of the castle as far as,of,1,0,1,1,0,0,0,0
 be one king the castle as far as male leos are,as,1,0,1,1,0,0,0,0
 there s plenty for everyone,for,0,0,0,0,0,0,0,0
 have achieved this we believe through the appointment of a high,through,0,0,0,0,0,0,0,0
 this we believe the appointment of a high profile director general,of,0,0,0,0,0,0,0,0
 and we would welcome consideration of a similar appointment at the,of,0,0,0,0,0,0,0,0
 welcome consideration a similar appointment at the institute,at,0,0,0,0,0,0,0,0
 they re on the chain around your neck,on,0,0,0,0,1,1,0,1
 they re the chain around your neck mandy told her,around,0,0,0,0,1,1,0,1
 my wife may otley replied with a hint of disappointment in,with,0,0,0,0,0,0,0,0
 may otley replied a hint of disappointment in his voice,of,0,0,0,0,0,0,0,0
 otley replied a hint disappointment in his voice,in,0,0,0,0,0,0,0,0
 and made no further bid for the limelight,for,0,0,0,0,0,0,0,0
 three of us carried you and i,of,0,0,0,0,0,0,0,0
 you and i was one of the three and i had,of,0,0,0,0,0,0,0,0
 had to tip a jug of water over you next morning,of,0,0,0,0,0,0,0,0
 to tip a jug water over you next morning to wake,over,0,0,0,0,1,1,0,1
 to think of that vast length of tube,of,0,0,0,0,0,0,0,0
 to think that vast length of tube supported only at its,of,0,0,0,0,0,0,0,0
 vast length tube supported only at its ends and a whole,at,0,0,0,0,1,1,0,1
 and a whole train running through it,through,0,0,0,0,1,1,0,1
 tonight the king will lodge at westminster,at,1,0,1,1,2,1,1,0
 touch her again with your filthy paws and i,with,0,0,0,0,0,0,0,0
 i ll ram my fist into your ugly face,into,0,0,0,0,1,1,0,1
 try not to brood on what you ve lost,on,0,0,0,0,0,0,0,0
 vitamin pills some eyedrops if you do n t want,if,0,0,0,0,0,0,0,0
 n t want bloodshot eyes after long flights and a stick,after,0,0,0,0,0,0,0,0
 long flights and a stick of men s deodorant,of,0,0,0,0,0,0,0,0
 obviously does n t agree with you,with,0,0,0,0,0,0,0,0
 we are riding the storm at the moment but things are,at,0,0,0,0,0,0,0,0
 but things are getting worse in the recession said george,in,0,0,0,0,0,0,0,0
 could both wander down perhaps if the rain stops,if,0,0,0,0,0,0,0,0
 we have  kilometres of coast line we are rich,of,1,0,1,1,2,1,1,0
 coast line we are rich in minerals and have great agricultural,in,1,0,1,1,0,0,0,0
 we pull certain costs from one separate legal entity and,from,0,0,0,0,0,0,0,0
 legal entity and merge them with separate costs from another legal,with,0,0,0,0,0,0,0,0
 and merge them separate costs from another legal entity,from,0,0,0,0,0,0,0,0
 be late said jackie hobbling towards the door,towards,0,0,0,0,2,1,1,0
 we ve had this conversation before,before,0,0,0,0,0,0,0,0
 we were hiking in milcreek canyon in utah,in,1,1,2,1,2,1,1,0
 we were hiking milcreek canyon in utah,in,1,1,2,1,2,1,1,0
 well i bicycled round siena with a gun in the basket,with,1,1,2,1,0,0,0,0
 bicycled round siena a gun in the basket on my handlebars,in,1,1,2,1,1,1,0,1
 siena a gun the basket on my handlebars underneath my exercise,on,1,1,2,1,1,1,0,1
 gun the basket my handlebars underneath my exercise books and petrarch,underneath,1,1,2,1,1,1,0,1
 like to get a look inside that van i said,inside,1,0,1,1,1,1,0,1
 a new beatles long player out any second tons of new,out,1,0,1,1,0,0,0,0
 long player any second tons of new songs,of,1,0,1,1,0,0,0,0
 round beth s slim waist as the two of them sauntered,as,0,0,0,0,0,0,0,0
 s slim waist the two of them sauntered to the door,of,0,0,0,0,0,0,0,0
 what it has to do with the verdict on dandy,with,0,0,0,0,0,0,0,0
 has to do the verdict on dandy,on,0,0,0,0,0,0,0,0
 what i plan to produce for itv and i know they,for,0,0,0,0,0,0,0,0
 the eight year old delighted that he had somehow managed to,that,0,0,0,0,0,0,0,0
 to amuse this mature woman of nineteen,of,0,0,0,0,0,0,0,0
 you want she asked tired from the flight,from,0,0,0,0,0,0,0,0
 screamed to the unseen driver as the black vehicle came hurtling,as,0,0,0,0,0,0,0,0
 the black vehicle came hurtling towards her once more this time,towards,0,0,0,0,1,1,0,1
 whore pulled out a phial beneath her robes and sprinkled the,beneath,0,0,0,0,1,1,0,1
 robes and sprinkled the contents on a loaf of bread,on,0,0,0,0,1,1,0,1
 sprinkled the contents a loaf of bread,of,0,0,0,0,1,1,0,1
 are we he asked peering about him,about,0,0,0,0,0,0,0,0
 yes i m not sure about abortion,about,0,0,0,0,0,0,0,0
 you have a previous conviction for a drugs offence involving cannabis,for,0,0,0,0,0,0,0,0
 to maggie when they were at last settled to their table,at,0,0,0,0,0,0,0,0
 preston you are kinda smart at that,at,0,0,0,0,0,0,0,0
 you ll perish from the cold an irish friend,from,0,0,0,0,0,0,0,0
 you re still brooding about rosie are n t you,about,0,0,0,0,0,0,0,0
 you re terribly unkind about colonel foxton christabel told her,about,0,0,0,0,0,0,0,0
 repeated mechanically and followed melissa from the church like a submissive,from,1,0,1,1,2,1,1,0
 and followed melissa the church like a submissive child,like,1,0,1,1,0,0,0,0
 think i m the granddaughter of a criminal,of,0,0,0,0,0,0,0,0
 every right to be mad at me mike,at,0,0,0,0,0,0,0,0
 % growth forecast for ,for,0,0,0,0,0,0,0,0
 john mcleod a policeman residing at ballygrant was added to the,at,0,1,1,1,2,1,1,0
  saw a substantial increase in both tendering activity and value,in,0,0,0,0,0,0,0,0
 both tendering activity and value of work obtained provided outstanding low,of,0,0,0,0,0,0,0,0
 application proposed development the erection of m and m high pallas,of,1,1,2,1,0,0,0,0
 and gates to a location at woodborough woods school lingwood lane,at,1,1,2,1,2,1,1,0
   protest march through london to hyde park wins,through,1,1,2,1,2,1,1,0
 charge that may be imposed upon any breach by the tenant,upon,0,0,0,0,0,0,0,0
 may be imposed any breach by the tenant of planning control,by,0,0,0,0,0,0,0,0
 imposed any breach the tenant of planning control or otherwise under,of,0,0,0,0,0,0,0,0
 tenant planning control or otherwise under the planning acts,under,0,0,0,0,0,0,0,0
 th  and which with all the houses buildings barns,with,5,1,6,1,0,0,0,0
  shillings a year and that another part was a new,that,5,1,6,1,0,0,0,0
 new toft or house built at southwell worth  shillings a,at,5,1,6,1,2,1,1,0
 belonging to the manor was worth  shillings a year and,worth,5,1,6,1,0,0,0,0
 am take off was followed by an uneventful flight and arrival,by,1,1,2,1,0,0,0,0
 an uneventful flight and arrival from a northerly direction at newbury,from,1,1,2,1,2,1,1,0
